Row,Voltage
52,2.46
51,2.474
50,2.489
49,2.503
48,2.517
47,2.532
46,2.546
45,2.56
44,2.575
43,2.589
42,2.603
41,2.617
40,2.632
39,2.646
38,2.66
37,2.675
36,2.689
35,2.703
34,2.718
33,2.732
32,2.746
31,2.761
30,2.775
29,2.789
28,2.804
27,2.818
26,2.832
25,2.846
24,2.861
23,2.875
22,2.889
21,2.904
20,2.918
19,2.932
18,2.947
17,2.961
16,2.975
15,2.99
14,3.004
13,3.018
12,3.033
11,3.047
10,3.061
9,3.075
8,3.09
7,3.104
6,3.118
5,3.133
4,3.147
3,3.161
2,3.176
1,3.19
0,3.2
